Temporada,Pos,Equipo,PJ,G,E,P,Pts,GF,GC,Dif
2018-19,6,Man United,38,19,9,10,66,65,54,+11
2018-19,7,Wolves,38,16,9,13,57,47,46,+1
2018-19,8,Everton,38,15,9,14,54,54,46,+8
2018-19,9,Leicester,38,15,7,16,52,51,48,+3
2018-19,10,West Ham,38,15,7,16,52,52,55,-3
2018-19,11,Watford,38,14,8,16,50,52,59,-7
2018-19,12,Crystal Palace,38,14,7,17,49,51,53,-2
2018-19,13,Newcastle,38,12,9,17,45,42,48,-6
2018-19,14,Bournemouth,38,13,6,19,45,56,70,-14
2018-19,15,Burnley,38,11,7,20,40,45,68,-23
2018-19,16,Southampton,38,9,12,17,39,45,65,-20
2018-19,17,Brighton,38,9,9,20,36,35,60,-25
2018-19,18,Cardiff,38,10,4,24,34,34,69,-35
2018-19,19,Fulham,38,7,5,26,26,34,81,-47
2018-19,20,Huddersfield,38,3,7,28,16,22,76,-54
2019-20,1,Liverpool,38,32,3,3,99,85,33,+52
2019-20,2,Man City,38,26,3,9,81,102,35,+67
2019-20,3,Man United,38,18,12,8,66,66,36,+30
2019-20,4,Chelsea,38,20,6,12,66,69,54,+15
2019-20,5,Leicester,38,18,8,12,62,67,41,+26
2019-20,6,Tottenham,38,16,11,11,59,61,47,+14
2019-20,7,Wolves,38,15,14,9,59,51,40,+11
2019-20,8,Arsenal,38,14,14,10,56,56,48,+8
2019-20,9,Sheffield United,38,14,12,12,54,39,39,0
2019-20,10,Burnley,38,15,9,14,54,43,50,-7
2019-20,11,Southampton,38,15,7,16,52,51,60,-9
2019-20,12,Everton,38,13,10,15,49,44,56,-12
2019-20,13,Newcastle,38,11,11,16,44,38,58,-20
2019-20,14,Crystal Palace,38,11,10,17,43,31,50,-19
2019-20,15,Brighton,38,9,14,15,41,39,54,-15
2019-20,16,West Ham,38,10,9,19,39,49,62,-13
2019-20,17,Aston Villa,38,9,8,21,35,41,67,-26
2019-20,18,Bournemouth,38,9,7,22,34,40,65,-25
2019-20,19,Watford,38,8,10,20,34,36,64,-28
2019-20,20,Norwich,38,5,6,27,21,26,75,-49
2020-21,1,Man City,38,27,5,6,86,83,32,+51
2020-21,2,Man United,38,21,11,6,74,73,44,+29
2020-21,3,Liverpool,38,20,9,9,69,68,42,+26
2020-21,4,Chelsea,38,19,10,9,67,58,36,+22
2020-21,5,Leicester,38,20,6,12,66,68,50,+18
2020-21,6,West Ham,38,19,8,11,65,62,47,+15
2020-21,7,Tottenham,38,18,8,12,62,68,45,+23
2020-21,8,Arsenal,38,18,7,13,61,55,39,+16
2020-21,9,Leeds,38,18,5,15,59,62,54,+8
2020-21,10,Everton,38,17,8,13,59,47,48,-1
2020-21,11,Aston Villa,38,16,7,15,55,55,46,+9
2020-21,12,Newcastle,38,12,9,17,45,46,62,-16
2020-21,13,Wolves,38,12,9,17,45,36,52,-16
2020-21,14,Crystal Palace,38,12,8,18,44,41,66,-25
2020-21,15,Southampton,38,12,7,19,43,47,68,-21
2020-21,16,Brighton,38,9,14,15,41,40,46,-6
2020-21,17,Burnley,38,10,9,19,39,33,55,-22
2020-21,18,Fulham,38,5,13,20,28,27,53,-26
2020-21,19,West Brom,38,5,11,22,26,35,76,-41
2020-21,20,Sheffield United,38,7,2,29,23,20,63,-43
2021-22,1,Man City,38,29,6,3,93,99,26,+73
2021-22,2,Liverpool,38,28,8,2,92,94,26,+68
2021-22,3,Chelsea,38,21,11,6,74,76,33,+43
2021-22,4,Tottenham,38,22,5,11,71,69,40,+29
2021-22,5,Arsenal,38,22,3,13,69,61,48,+13
2021-22,6,Man United,38,16,10,12,58,57,57,0
2021-22,7,West Ham,38,16,8,14,56,60,51,+9
2021-22,8,Leicester,38,14,10,14,52,62,59,+3
2021-22,9,Brighton,38,12,15,11,51,42,44,-2
2021-22,10,Wolves,38,15,6,17,51,38,43,-5
2021-22,11,Newcastle,38,13,10,15,49,44,62,-18
2021-22,12,Crystal Palace,38,11,15,12,48,50,46,+4
2021-22,13,Brentford,38,13,7,18,46,48,56,-8
2021-22,14,Aston Villa,38,13,6,19,45,52,54,-2
2021-22,15,Southampton,38,9,13,16,40,43,67,-24
2021-22,16,Everton,38,11,6,21,39,43,66,-23
2021-22,17,Leeds,38,9,11,18,38,42,79,-37
2021-22,18,Burnley,38,7,14,17,35,34,53,-19
2021-22,19,Watford,38,6,5,27,23,34,77,-43
2021-22,20,Norwich,38,5,7,26,22,23,84,-61
2022-23,1,Man City,38,28,5,5,89,94,33,+61
2022-23,2,Arsenal,38,26,6,6,84,88,43,+45
2022-23,3,Man United,38,23,6,9,75,58,43,+15
2022-23,4,Newcastle,38,19,14,5,71,68,33,+35
2022-23,5,Liverpool,38,19,10,9,67,75,47,+28
2022-23,6,Brighton,38,18,8,12,62,72,53,+19
2022-23,7,Aston Villa,38,18,7,13,61,51,46,+5
2022-23,8,Tottenham,38,18,6,14,60,70,63,+7
2022-23,9,Brentford,38,15,14,9,59,58,46,+12
2022-23,10,Fulham,38,15,7,16,52,55,53,+2
2022-23,11,Crystal Palace,38,11,12,15,45,40,49,-9
2022-23,12,Chelsea,38,11,11,16,44,38,47,-9
2022-23,13,Wolves,38,11,8,19,41,31,58,-27
2022-23,14,West Ham,38,11,7,20,40,42,55,-13
2022-23,15,Bournemouth,38,11,6,21,39,37,71,-34
2022-23,16,Nott'm Forest,38,9,11,18,38,38,68,-30
2022-23,17,Everton,38,8,12,18,36,34,57,-23
2022-23,18,Leicester,38,9,7,22,34,51,68,-17
2022-23,19,Leeds,38,7,10,21,31,48,78,-30
2022-23,20,Southampton,38,6,7,25,25,36,73,-37
2023-24,1,Man City,38,28,7,3,91,96,34,+62
2023-24,2,Arsenal,38,28,5,5,89,91,29,+62
2023-24,3,Liverpool,38,24,10,4,82,86,41,+45
2023-24,4,Aston Villa,38,20,8,10,68,76,61,+15
2023-24,5,Tottenham,38,20,6,12,66,74,61,+13
2023-24,6,Chelsea,38,18,9,11,63,77,63,+14
2023-24,7,Newcastle,38,18,6,14,60,85,62,+23
2023-24,8,Man United,38,18,6,14,60,57,58,-1
2023-24,9,West Ham,38,14,10,14,52,60,74,-14
2023-24,10,Crystal Palace,38,13,10,15,49,57,58,-1
2023-24,11,Brighton,38,12,12,14,48,55,62,-7
2023-24,12,Everton,38,13,9,16,48,40,51,-11
2023-24,13,Bournemouth,38,13,9,16,48,54,67,-13
2023-24,14,Fulham,38,13,8,17,47,55,61,-6
2023-24,15,Wolves,38,13,7,18,46,50,65,-15
2023-24,16,Brentford,38,10,9,19,39,56,65,-9
2023-24,17,Nott'm Forest,38,9,9,20,36,49,67,-18
2023-24,18,Luton,38,6,8,24,26,52,85,-33
2023-24,19,Burnley,38,5,9,24,24,41,78,-37
2023-24,20,Sheffield United,38,3,7,28,16,35,104,-69
2024-25,1,Liverpool,38,25,9,4,84,86,41,+45
2024-25,2,Arsenal,38,20,14,4,74,69,34,+35
2024-25,3,Man City,38,21,8,9,71,72,44,+28
2024-25,4,Chelsea,38,20,9,9,69,64,43,+21
2024-25,5,Newcastle,38,20,6,12,66,68,47,+21
2024-25,6,Aston Villa,38,19,9,10,66,58,51,+7
2024-25,7,Nott'm Forest,38,19,8,11,65,58,46,+12
2024-25,8,Brighton,38,16,13,9,61,66,59,+7
2024-25,9,Bournemouth,38,15,11,12,56,58,46,+12
2024-25,10,Brentford,38,16,8,14,56,66,57,+9
2024-25,11,Fulham,38,15,9,14,54,54,54,0
2024-25,12,Crystal Palace,38,13,14,11,53,51,51,0
2024-25,13,Everton,38,11,15,12,48,42,44,-2
2024-25,14,West Ham,38,11,10,17,43,46,62,-16
2024-25,15,Man United,38,11,9,18,42,44,54,-10
2024-25,16,Wolves,38,12,6,20,42,54,69,-15
2024-25,17,Tottenham,38,11,5,22,38,64,65,-1
2024-25,18,Leicester,38,6,7,25,25,33,80,-47
2024-25,19,Ipswich,38,4,10,24,22,36,82,-46
2024-25,20,Southampton,38,2,6,30,12,26,86,-60
